Source_ID,Facility_Name,Full_Addr,Street_No,Street_Name,City,Prov_Terr,Postal_Code,CSDNAME,CSDUID,Longitude,Latitude
434,￉cole des Quatre-Vents,7401 - 99 Street Peace River AB T8S1R4,7401,99 street,Peace River,AB,T8S1R4,Peace River,4819038,-117.2883960,56.25698000
438,￉cole Saint-Christophe,214 - 8 Street Wainwright AB T9W2R2,214,8 street,Wainwright,AB,T9W2R2,Wainwright,4807054,-110.8646920,52.83588400
520,￉cole Les Cypres,"945 1st Avenue, SE Medicine Hat AB T1A2K6",945,1st avenue se,Medicine Hat,AB,T1A2K6,Medicine Hat,4801006,-110.6845670,50.03019000
1014,￉cole de La Source,360 - 94 Avenue S.E. Calgary AB T2J0E8,360,94 avenue s.e.,Calgary,AB,T2J0E8,Calgary,4806016,-114.0621710,50.96863700
1050,￉cole Desrochers,302 Elm Avenue Jasper AB T0E1E0,302,elm avenue,Jasper,AB,T0E1E0,Jasper,4815033,-118.0824860,52.87759400
1060,￉cole Notre-Dame des Monts,3100B Stewart Creek Drive Canmore AB T1W3M6,3100,stewart creek drive,Canmore,AB,T1W3M6,Canmore,4815023,-115.31668,51.050036
1189,￉cole Notre-Dame des Vallees,132 Quigley Drive Cochrane AB T4C1R1,132,quigley drive,Cochrane,AB,T4C1R1,Cochrane,4806019,-114.5031230,51.19535400
1247,￉cole Le Ruisseau,803 - 4 Ave West Brooks AB T1R0B5,803,4 ave west,Brooks,AB,T1R0B5,Brooks,4802034,-111.9075760,50.5691310
1269,Airdrie Francophone School,1165 Ravenswood Drive Airdrie AB T4A0H3,1165,ravenswood drive,Airdrie,AB,T4A0H3,Airdrie,4806021,-113.98034,51.26714200
1297,￉cole Beausoleil,70 Ranchers Meadows Okotoks AB T1S0P5,70,ranchers meadows,Okotoks,AB,T1S0P5,Okotoks,4806012,-113.9680990,50.72980200
1364,￉cole Terre des Jeunes,3720 - 42 Street NW Calgary AB T3A0C6,3720,42 street nw,Calgary,AB,T3A0C6,Calgary,4806016,-114.1510760,51.08529000
1365,￉cole La Mosa￯que,199 Martindale Blvd NE Calgary AB T3J3G4,199,martindale blvd ne,Calgary,AB,T3J3G4,Calgary,4806016,-113.9576800,51.11426300
1371,￉cole A la D￩couverte,10935-113 Street Edmonton AB T5H3J4,10935,113 street,Edmonton,AB,T5H3J4,Edmonton,4811061,-113.5153730,53.5558230
1378,Notre-Dame de la Paix,809 Willingdon Blvd SE Calgary AB T2J2B7,809,willingdon blvd se,Calgary,AB,T2J2B7,Calgary,4806016,-114.0440400,50.9510160
1550,￉cole H￩ritage,"110 Charbonneau, Falher, AB T0H 1M0",110,charbonneau,Falher,AB,T0H1M0,Falher,4819046,-117.1949850,55.73527300
1870,￉cole Boreal,312 Abasand Drive Fort McMurray AB T9J1B2,312,abasand drive,Fort McMurray,AB,T9J1B2,Wood Buffalo,4816037,-111.3801970,56.71218300
1904,￉cole Sainte-Catherine,"10309 102 Ave, Lac la Biche, AB T0A 2C2",10309,102.0 ave,Lac La Biche,AB,T0A2C0,Lac la Biche County,4812037,-111.9851680,54.7697440
1907,￉cole des Fondateurs,4707 - 56 Street Camrose AB T4V2C4,4707,56 street,Camrose,AB,T4V2C4,Camrose,4810011,-112.8358540,53.0166300
1959,￉cole Sans-Fronti￨res,4204-54e Avenue Lloydminster AB T9V2R6,4204,54e avenue,Lloydminster,AB,T9V2R6,Lloydminster (Part),4810039,-110.0154090,53.27611500
1986,￉cole Claudette-et-Denis-Tardif,10 Hawkins Crescent Sherwood Park AB T8A3P2,10,hawkins crescent,Sherwood Park,AB,T8A3P2,Strathcona County,4811052,-113.3220910,53.51980500
2149,￉cole du Nouveau-Monde,220 Scenic Acres Drive NW Calgary AB T3L0E7,220,scenic acres drive nw,Calgary,AB,T3L0E7,Calgary,4806016,-114.2134150,51.11163600
2536,￉cole Citadelle,P.O. Box 28 5109 - 46 Street Legal AB T0G1L0,5109,46 street,Legal,AB,T0G1L0,Legal,4811069,-113.5880100,53.95064400
2537,￉cole La Mission,46 Heritage Drive St. Albert AB T8N7J5,46,heritage drive,St. Albert,AB,T8N7J5,St. Albert,4811062,-113.6258450,53.60782700
2538,￉cole La Prairie,4810 34 Street Red Deer AB T4N4R6,4810,34 street,Red Deer,AB,T4N4R6,Red Deer,4808011,-113.81158,52.25391700
2539,￉cole La Verendrye,"625, 21st Street South Lethbridge AB T1J5E4",625,21st street south,Lethbridge,AB,T1J5E4,Lethbridge,4802012,-112.810759,49.690959
2718,￉cole Beausejour,"10026 1 Ave, Plamondon, AB T0A 2T0",10026,1.0 ave,Plamondon,AB,T0A2T0,Lac la Biche County,4812037,-112.347183,54.8457710
2876,￉cole des Beaux-Lacs,4312 - 34 Street Bonnyville AB T9N2R3,4312,34 street,Bonnyville,AB,T9N2R3,Bonnyville,4812009,-110.7069280,54.2614390
2892,￉cole du Sommet,"40 St, St. Paul, AB T0A 3A0",40,st,St. Paul,AB,T0A3A0,St. Paul,4812018,-111.265436,53.988482
2985,￉cole Voyageur,4719 - 69 Avenue Cold Lake AB T9M2E6,4719,69 avenue,Cold Lake,AB,T9M2E6,Cold Lake,4812002,-110.2015130,54.4370660
8002,￉cole Pere-Lacombe,10715 - 131A Avenue Edmonton AB T5E0X4,10715,131a avenue,Edmonton,AB,T5E0X4,Edmonton,4811061,-113.5050460,53.5907280
8007,￉cole Notre-Dame,15425 - 91 Avenue Edmonton AB T5R4Z7,15425,91 avenue,Edmonton,AB,T5R4Z7,Edmonton,4811061,-113.5881360,53.52402600
8025,￉cole Ste-Jeanne-d'Arc,8505 - 68A Street Edmonton AB T6B0J9,8505,68a street,Edmonton,AB,T6B0J9,Edmonton,4811061,-113.431196,53.520496
8707,Sainte Marguerite Bourgeoys,4700 Richard Road S.W. Calgary AB T3E6L1,4700,richard road s.w.,Calgary,AB,T3E6L1,Calgary,4806016,-114.1228020,51.01188500
9344004,Andre-Piolat,380 Kings Rd W North Vancouver BC V7N 2L9,380,kings rd w,North Vancouver,BC,V7N2L9,North Vancouver,5915046,-123.07814,49.33747700
9339111,Anne-Hebert,7051 Killarney St Vancouver BC V5S 2Y5,7051,killarney st,Vancouver,BC,V5S2Y5,Vancouver,5915022,-123.0456660,49.21876600
9393006,Au Coeur de L'ile,566 Linshart Rd Comox BC V9M 2K8,566,linshart rd,Comox,BC,V9M2K8,Comox,5926005,-124.9287930,49.68396200
9361008,Beausoleil,637 Head Street (temporary) Victoria BC V9A 5S9,637,head street temporary,Victoria,BC,V9A5S9,Victoria,5917034,-123.3288580,48.42801900
9324064,Collines-d'or,2450 Partridge Dr Kamloops BC V2B 8G1,2450,partridge dr,Kamloops,BC,V2B8G1,Kamloops,5933042,-120.3551210,50.74557700
9347006,Cote-du-Soleil,4368 Michigan Ave Powell River BC V8A 2S1,4368,michigan ave,Powell River,BC,V8A2S1,Powell River,5927008,-124.5238370,49.83425000
9323027,de l'Anse-au-sable,675 Lequime Rd Kelowna BC V1W 1A3,675,lequime rd,Kelowna,BC,V1W1A3,Kelowna,5935010,-119.4839640,49.83567300
9339118,des Colibris,590 W 65th Ave Vancouver BC V6P 2P8,590,w 65th ave,Vancouver,BC,V6P2P8,Vancouver,5915022,-123.1194500,49.21147300
9375920,des Deux-rives,7674 Stave Lake St Mission BC V2V 4G4,7674,stave lake st,Mission,BC,V2V4G4,Mission,5909056,-122.292708,49.14134
9393007,des Glaciers,1950 Park Dr Revelstoke BC V0E 2S1,1950,park dr,Revelstoke,BC,V0E2S1,Revelstoke,5939019,-118.1781960,50.97690000
9370006,des Grands-cedres,5100 Tebo Ave Port Alberni BC V9Y 5Y6,5100,tebo ave,Port Alberni,BC,V9Y5Y6,Port Alberni,5923008,-124.7957850,49.26751500
9338036,des Navigateurs,8580 Kilgour Pl Richmond BC V7C 3R1,8580,kilgour pl,Richmond,BC,V7C3R1,Richmond,5915015,-123.1638710,49.15070900
9343092,des Pionniers-de-Maillardville,1618 Patricia Ave Port Coquitlam BC V3B 4A8,1618,patricia ave,Port Coquitlam,BC,V3B4A8,Port Coquitlam,5915039,-122.7610040,49.2758520
9393003,des Sentiers-alpins,2780 3A Hwy Nelson BC V1L 6L6,2780,3a hwy,Nelson,BC,V1L6L6,Central Kootenay F,5903043,-117.2264500,49.57376000
9311004,des Sept-sommets,2160 St Paul Rossland BC V0G 1Y0,2160,st paul,Rossland,BC,V0G1Y0,Rossland,5905023,-117.7955250,49.07866500
9335028,des Voyageurs,8736 216 St Langley BC V1M 2X9,8736,216.0 st,Langley,BC,V1M2X9,Langley,5915001,-122.6240780,49.16077000
9337031,du Bois-Joli,785 49 St delta BC V4M 2P3,785,49.0 st,delta,BC,V4M2P3,Delta,5915011,-123.0881320,49.01742900
9346003,du Pacifique,5538 Shorncliffe Box 390 Sechelt BC V0N 3A0,390,shorncliffe box,Sechelt,BC,V0N3A0,Sechelt,5929011,-123.7644050,49.47295900
9315013,Entre-Lacs,1213 Debeck Rd Penticton BC V2A 3Z1,1213,debeck rd,Penticton,BC,V2A3Z1,Penticton,5907041,-119.5684820,49.4901010
9357053,Franco-nord,2641 Ellison Dr Prince George BC V2M 2S6,2641,ellison dr,Prince George,BC,V2M2S6,Prince George,5953023,-122.7729200,53.90711900
9393002,Gabrielle-Roy,6887 132 St Surrey BC V3W 4L9,6887,132.0 st,Surrey,BC,V3W4L9,Surrey,5915004,-122.856672,49.12839000
9388027,Jack-Cook,4720 Graham Ave Terrace BC V8G 1A8,4720,graham ave,Terrace,BC,V8G1A8,Terrace,5949011,-128.5949900,54.50606700
9393012,La Confluence,820 11 Ave S Golden BC V0A 1H2,820,11 ave s,Golden,BC,V0A1H2,Golden,5939007,-116.9618840,51.29777200
